Industry,State,Country,Stage,Account Name,Amount,CloseDate (Epoch days),CloseDate (Epoch seconds),AccountType,CloseDate,Name
Retail,Illinois,United States,Closed Won,Ortega682 Inc,78045,18721,1617494400,Partner,4/4/2021,Opportunity for Dunn946
Transportation,Massachusetts,United States,Closed Won,Barnett543 Inc,87123,19113,1651363200,Customer,5/1/2022,Opportunity for Davis947
Education,Texas,United States,Needs Analysis,Newman145 Inc,46661,18286,1579910400,Customer,1/25/2020,Opportunity for Stokes949
Manufacturing,Ohio,United States,Value Proposition,Pittman528 Inc,25006,18250,1576800000,Partner,12/20/2019,Opportunity for Bryant952
Engineering,Florida,United States,Perception Analysis,Watkins561 Inc,47727,19017,1643068800,Partner,1/25/2022,Opportunity for Salazar953
Healthcare,Florida,United States,Value Proposition,Clarke268 Inc,23229,19286,1666310400,Customer,10/21/2022,Opportunity for Alexander954
Electronics,,United States,Qualification,Fox517 Inc,63549,19013,1642723200,Partner,1/21/2022,Opportunity for Dennis956
Engineering,Tennessee,United States,Negotiation/Review,Banks163 Inc,77058,18031,1557878400,Partner,5/15/2019,Opportunity for Estrada957
Telecommunications,,,Qualification,Tran514 Inc,44708,18241,1576022400,Partner,12/11/2019,Opportunity for Rodriquez958
Finance,Michigan,United States,Closed Won,Lawson921 Inc,14956,18405,1590192000,Customer,5/23/2020,Opportunity for Jackson959
Finance,Maryland,United States,Closed Won,Bennett922 Inc,59776,18287,1579996800,Partner,1/26/2020,Opportunity for McBride960
Technology,Oregon,United States,Needs Analysis,Wade723 Inc,64492,18683,1614211200,Partner,2/25/2021,Opportunity for Jimenez961
Biotechnology,Florida,United States,Negotiation/Review,Lopez621 Inc,30749,18488,1597363200,Partner,8/14/2020,Opportunity for Moore962
Agriculture,Florida,United States,Needs Analysis,West49 Inc,99008,18650,1611360000,Partner,1/23/2021,Opportunity for Wade966
Banking,,United States,Closed Won,Vasquez483 Inc,59620,18074,1561593600,Customer,6/27/2019,Opportunity for Luna1331
Electronics,South Carolina,United States,Needs Analysis,Lindsey633 Inc,61714,18056,1560038400,Partner,6/9/2019,Opportunity for Malone1334
Manufacturing,California,United States,Closed Won,Cohen28 Inc,16763,18552,1602892800,Partner,10/17/2020,Opportunity for Sharp1336
Technology,Washington,United States,Closed Lost,Warren397 Inc,68177,18603,1607299200,Partner,12/7/2020,Opportunity for Shaw1337
Electronics,Georgia,United States,Closed Won,Black598 Inc,86524,18601,1607126400,Partner,12/5/2020,Opportunity for Guzman1338
Media,Mississippi,United States,Closed Won,Flores188 Inc,82965,18288,1580083200,Customer,1/27/2020,Opportunity for Gibbs1339
Technology,Kentucky,United States,Closed Won,Fowler322 Inc,26674,18445,1593648000,Partner,7/2/2020,Opportunity for Chavez1340
Banking,New York,United States,Closed Won,Adkins42 Inc,73558,19114,1651449600,Customer,5/2/2022,Opportunity for Sanders1345
Agriculture,Florida,United States,Closed Won,Riley999 Inc,25706,19079,1648425600,Partner,3/28/2022,Opportunity for Sparks1346
Engineering,Texas,United States,Needs Analysis,Phillips253 Inc,60823,18132,1566604800,Partner,8/24/2019,Opportunity for Johnson1707
Transportation,,United States,Negotiation/Review,Aguilar870 Inc,41159,17972,1552780800,Partner,3/17/2019,Opportunity for Parker1715
Retail,Ohio,United States,Value Proposition,Fowler322 Inc,60834,19199,1658793600,Partner,7/26/2022,Opportunity for Erickson1716
Banking,Arizona,United States,Closed Won,Morton128 Inc,43559,18753,1620259200,Customer,5/6/2021,Opportunity for Lewis1718
Utilities,North Carolina,United States,Closed Won,Hudson506 Inc,49834,18822,1626220800,Partner,7/14/2021,Opportunity for French1719
Healthcare,North Carolina,United States,Prospecting,Thompson136 Inc,48834,17998,1555027200,Partner,4/12/2019,Opportunity for Duncan1725
Engineering,New York,United States,Qualification,Duncan187 Inc,37861,17928,1548979200,Partner,2/1/2019,Opportunity for Leonard584
Engineering,Michigan,United States,Closed Lost,Haynes623 Inc,33584,18418,1591315200,Customer,6/5/2020,Opportunity for Santiago590
Banking,New York,United States,Proposal/Price Quote,Adkins907 Inc,41410,18317,1582588800,Customer,2/25/2020,Opportunity for Morton591
Utilities,California,United States,Qualification,Peters785 Inc,86442,18965,1638576000,Partner,12/4/2021,Opportunity for Reynolds593
Communications,Florida,United States,Closed Won,Cook117 Inc,64105,18416,1591142400,Customer,6/3/2020,Opportunity for Bowers595
Engineering,,United States,Prospecting,Rodriguez422 Inc,81656,19058,1646611200,Partner,3/7/2022,Opportunity for Armstrong600
Energy,Texas,United States,Closed Won,Mann440 Inc,89241,18932,1635724800,Partner,11/1/2021,Opportunity for Nash605
Energy,Indiana,United States,Closed Lost,Riley999 Inc,55613,18137,1567036800,Partner,8/29/2019,Opportunity for Evans607
Engineering,Missouri,United States,Closed Won,West990 Inc,19896,18108,1564531200,Partner,7/31/2019,Opportunity for Norman968
Insurance,Kansas,United States,Closed Lost,Marsh614 Inc,57822,18283,1579651200,Partner,1/22/2020,Opportunity for Keller977
Healthcare,Georgia,United States,Qualification,Reynolds298 Inc,93329,18462,1595116800,Customer,7/19/2020,Opportunity for Jennings981
Education,North Carolina,United States,Closed Lost,Gutierrez48 Inc,59235,18656,1611878400,Partner,1/29/2021,Opportunity for Weber983
Transportation,California,United States,Closed Won,Joseph730 Inc,68420,18186,1571270400,Partner,10/17/2019,Opportunity for Lane987
Engineering,Louisiana,United States,Proposal/Price Quote,Wise175 Inc,21144,19188,1657843200,Partner,7/15/2022,Opportunity for Lloyd988
Manufacturing,California,United States,Perception Analysis,Fitzgerald503 Inc,19300,18470,1595808000,Customer,7/27/2020,Opportunity for Porter991
Biotechnology,,United States,Closed Won,Carr889 Inc,89828,18168,1569715200,Partner,9/29/2019,Opportunity for Norman1354
Consulting,Florida,United States,Closed Lost,Wells423 Inc,22687,18115,1565136000,Partner,8/7/2019,Opportunity for Gomez1357
Biotechnology,Minnesota,United States,Closed Won,Schneider841 Inc,38638,18149,1568073600,Partner,9/10/2019,Opportunity for Sullivan1358
Energy,South Dakota,United States,Qualification,Rodriquez626 Inc,32161,19331,1670198400,Partner,12/5/2022,Opportunity for Harrison1359
Manufacturing,California,United States,Value Proposition,Ramsey114 Inc,64705,18978,1639699200,Partner,12/17/2021,Opportunity for Austin1360
Media,Georgia,United States,Closed Won,Schneider843 Inc,77410,18082,1562284800,Partner,7/5/2019,Opportunity for Dean1363
Engineering,New York,United States,Needs Analysis,Herrera637 Inc,4352,19340,1670976000,Customer,12/14/2022,Opportunity for Ferguson1365
Agriculture,Kentucky,United States,Needs Analysis,Brewer934 Inc,23175,19324,1669593600,Partner,11/28/2022,Opportunity for Wilkins1370
Manufacturing,Washington,United States,Closed Won,Lee192 Inc,21104,18621,1608854400,Partner,12/25/2020,Opportunity for Wilkins1372
Finance,Nevada,United States,Closed Won,Woods306 Inc,14223,19139,1653609600,Partner,5/27/2022,Opportunity for Olson1373
Apparel,Alabama,United States,Closed Won,Dawson161 Inc,5531,18249,1576713600,Partner,12/19/2019,Opportunity for Dennis1374
Electronics,Nevada,United States,Closed Lost,Maxwell619 Inc,27337,18488,1597363200,Partner,8/14/2020,Opportunity for Buchanan1727
Biotechnology,California,United States,Negotiation/Review,Collins522 Inc,79952,18170,1569888000,Partner,10/1/2019,Opportunity for White1730
Finance,Missouri,United States,Closed Won,Lopez275 Inc,59047,18527,1600732800,Partner,9/22/2020,Opportunity for Tate1737
Finance,Massachusetts,United States,Closed Lost,Crawford536 Inc,3110,19180,1657152000,Partner,7/7/2022,Opportunity for Arnold1738
Engineering,,United States,Closed Won,Bridges776 Inc,22357,19245,1662768000,Partner,9/10/2022,Opportunity for Meyer1740
Healthcare,Indiana,United States,Qualification,Riley999 Inc,1985,18388,1588723200,Partner,5/6/2020,Opportunity for Phillips1742
Engineering,New York,United States,Closed Lost,Casey767 Inc,9462,18737,1618876800,Partner,4/20/2021,Opportunity for Smith1744
Engineering,Utah,United States,Perception Analysis,Dean95 Inc,15485,19007,1642204800,Partner,1/15/2022,Opportunity for Rhodes1746
Biotechnology,Alaska,United States,Closed Won,McKenzie531 Inc,39695,18763,1621123200,Partner,5/16/2021,Opportunity for Jackson611
Retail,California,United States,Closed Lost,Rodgers461 Inc,85196,19012,1642636800,Customer,1/20/2022,Opportunity for Keller612
Technology,Indiana,United States,Closed Won,Doyle59 Inc,51963,18906,1633478400,Customer,10/6/2021,Opportunity for Osborne613
Communications,Arizona,United States,Closed Won,Austin22 Inc,2831,17976,1553126400,Partner,3/21/2019,Opportunity for Valdez617
Retail,Oklahoma,United States,Closed Won,Joseph988 Inc,74355,18381,1588118400,Partner,4/29/2020,Opportunity for Weber619
Engineering,Missouri,United States,Closed Won,Gonzales409 Inc,12638,19188,1657843200,Partner,7/15/2022,Opportunity for West620
Finance,New York,United States,Closed Won,Crawford184 Inc,66655,17929,1549065600,Partner,2/2/2019,Opportunity for Ingram622
Electronics,Indiana,United States,Closed Won,Cohen28 Inc,808,18171,1569974400,Partner,10/2/2019,Opportunity for Jackson625
Technology,New York,United States,Qualification,Brewer763 Inc,29159,18272,1578700800,Partner,1/11/2020,Opportunity for Daniels627
Energy,Texas,United States,Closed Won,Thomas148 Inc,53520,19183,1657411200,Partner,7/10/2022,Opportunity for Robinson994
Communications,Louisiana,United States,Closed Won,Harris195 Inc,10498,18526,1600646400,Partner,9/21/2020,Opportunity for Crawford995
Utilities,New York,United States,Closed Won,Glover254 Inc,81259,18157,1568764800,Customer,9/18/2019,Opportunity for McCarthy999
Biotechnology,Texas,United States,Closed Won,Nguyen793 Inc,15077,19090,1649376000,Customer,4/8/2022,Opportunity for Owen1000
Technology,Massachusetts,United States,Qualification,Hunter88 Inc,99558,19122,1652140800,Customer,5/10/2022,Opportunity for Chavez1002
Banking,Oklahoma,United States,Closed Won,Lawrence696 Inc,69513,18585,1605744000,Partner,11/19/2020,Opportunity for Davidson1004
Communications,Maryland,United States,Closed Won,Graves147 Inc,61569,19226,1661126400,Partner,8/22/2022,Opportunity for Vasquez1005
Communications,New Jersey,United States,Qualification,Rodriquez412 Inc,62162,18687,1614556800,Partner,3/1/2021,Opportunity for Holmes1012
Biotechnology,Florida,United States,Value Proposition,McCarthy162 Inc,71679,18680,1613952000,Partner,2/22/2021,Opportunity for Richardson1013
Telecommunications,Idaho,United States,Closed Won,Ford835 Inc,80890,18723,1617667200,Customer,4/6/2021,Opportunity for Kennedy1017
Manufacturing,Georgia,United States,Prospecting,Graves147 Inc,80221,18675,1613520000,Customer,2/17/2021,Opportunity for Collier1376
Communications,South Dakota,United States,Closed Won,Long659 Inc,94653,19009,1642377600,Partner,1/17/2022,Opportunity for Bridges1377
Banking,Georgia,United States,Closed Lost,Lawrence50 Inc,79706,18920,1634688000,Customer,10/20/2021,Opportunity for Elliott1378
Telecommunications,California,United States,Closed Won,Chambers869 Inc,66533,18573,1604707200,Partner,11/7/2020,Opportunity for Ray1381
Finance,Nevada,United States,Closed Won,Bradley715 Inc,28627,19123,1652227200,Partner,5/11/2022,Opportunity for Washington1383
Manufacturing,Indiana,United States,Closed Lost,Ross364 Inc,69904,19303,1667779200,Partner,11/7/2022,Opportunity for Griffin1384
Manufacturing,Ohio,United States,Qualification,Moore470 Inc,11294,18842,1627948800,Partner,8/3/2021,Opportunity for Simpson1385
Energy,Arkansas,United States,Closed Won,Riley999 Inc,98120,17931,1549238400,Partner,2/4/2019,Opportunity for Newman1387
Engineering,,United States,Closed Won,Knight146 Inc,17892,18964,1638489600,Partner,12/3/2021,Opportunity for Boone1390
Engineering,Alaska,United States,Closed Won,Yates593 Inc,36573,18833,1627171200,Partner,7/25/2021,Opportunity for Sanders1392
Finance,Florida,United States,Closed Won,Rodriguez768 Inc,47366,18860,1629504000,Partner,8/21/2021,Opportunity for Maldonado1393
Media,Kansas,United States,Closed Won,Casey47 Inc,13687,18070,1561248000,Partner,6/23/2019,Opportunity for Robinson1397
Electronics,Utah,United States,Closed Won,McCarthy602 Inc,39080,18237,1575676800,Partner,12/7/2019,Opportunity for Salazar1398
Insurance,Pennsylvania,United States,Closed Won,Mitchell743 Inc,96896,18537,1601596800,Customer,10/2/2020,Opportunity for Kelly1755
Engineering,Florida,United States,Closed Lost,Tran866 Inc,87382,18972,1639180800,Partner,12/11/2021,Opportunity for Buchanan1756
Engineering,Colorado,United States,Proposal/Price Quote,Weber794 Inc,22469,17927,1548892800,Partner,1/31/2019,Opportunity for McGee1757
Finance,Delaware,United States,Closed Lost,Gomez871 Inc,30758,18871,1630454400,Customer,9/1/2021,Opportunity for Nguyen1759
Agriculture,,United States,Closed Won,Gonzales209 Inc,96205,18235,1575504000,Partner,12/5/2019,Opportunity for Luna1760
Agriculture,Texas,United States,Qualification,Brewer941 Inc,3297,18087,1562716800,Partner,7/10/2019,Opportunity for Sanders1761
Banking,District of Columbia,United States,Qualification,Benson346 Inc,72710,18973,1639267200,Customer,12/12/2021,Opportunity for Zimmerman1763
Telecommunications,,,Value Proposition,Hill463 Inc,7894,17920,1548288000,Partner,1/24/2019,Opportunity for Barton1764
Transportation,California,United States,Closed Won,Anderson638 Inc,85361,18590,1606176000,Partner,11/24/2020,Opportunity for Ramirez1767
Manufacturing,Virginia,United States,Closed Won,Cummings974 Inc,73858,18015,1556496000,Partner,4/29/2019,Opportunity for James1768
Apparel,Colorado,,Closed Won,Holloway944 Inc,24504,18908,1633651200,Partner,10/8/2021,Opportunity for Perez1775
Manufacturing,Nebraska,,Closed Won,Tucker284 Inc,22492,18391,1588982400,Partner,5/9/2020,Opportunity for Abbott636
Apparel,Ohio,United States,Closed Won,Estrada864 Inc,20117,18547,1602460800,Partner,10/12/2020,Opportunity for Jefferson638
Technology,Virginia,United States,Closed Won,West416 Inc,19953,19192,1658188800,Customer,7/19/2022,Opportunity for Byrd640
Engineering,Washington,United States,Closed Won,Reid29 Inc,85875,19030,1644192000,Partner,2/7/2022,Opportunity for Carson641
Communications,North Carolina,United States,Needs Analysis,Holmes945 Inc,80088,18788,1623283200,Partner,6/10/2021,Opportunity for Figueroa642
Manufacturing,Alabama,United States,Closed Won,Gordon814 Inc,97627,19251,1663286400,Partner,9/16/2022,Opportunity for Jensen643
Engineering,Florida,,Qualification,Crawford184 Inc,6993,19027,1643932800,Customer,2/4/2022,Opportunity for Frazier644
Electronics,Missouri,United States,Closed Lost,Schneider736 Inc,81447,18640,1610496000,Partner,1/13/2021,Opportunity for Barrett645
Finance,Virginia,United States,Needs Analysis,Rivera969 Inc,10018,19106,1650758400,Partner,4/24/2022,Opportunity for Bowen646
Media,Texas,United States,Closed Won,Armstrong378 Inc,3278,19203,1659139200,Partner,7/30/2022,Opportunity for Ruiz650
Manufacturing,New Jersey,United States,Closed Won,Goodman883 Inc,53470,18357,1586044800,Partner,4/5/2020,Opportunity for Norman655
Engineering,New York,United States,Qualification,Simmons211 Inc,25300,18653,1611619200,Customer,1/26/2021,Opportunity for Bridges657
Biotechnology,Delaware,United States,Closed Won,Greene248 Inc,79527,18004,1555545600,Partner,4/18/2019,Opportunity for Willis1022
Agriculture,Michigan,United States,Closed Won,Underwood142 Inc,80391,18946,1636934400,Customer,11/15/2021,Opportunity for Santiago1026
Engineering,California,United States,Closed Won,Patterson932 Inc,83500,19053,1646179200,Partner,3/2/2022,Opportunity for Allison1031
Transportation,California,United States,Closed Won,Bailey19 Inc,47583,18887,1631836800,Partner,9/17/2021,Opportunity for Walton1035
Communications,Illinois,,Closed Won,Hicks332 Inc,83945,18895,1632528000,Partner,9/25/2021,Opportunity for Mendez1036
Engineering,Florida,United States,Closed Won,Paul453 Inc,29528,18908,1633651200,Partner,10/8/2021,Opportunity for Ortiz1039
Utilities,Michigan,United States,Closed Won,Conner513 Inc,64279,18609,1607817600,Partner,12/13/2020,Opportunity for Lopez1040
Finance,Maine,United States,Closed Won,Rodriguez608 Inc,37162,18039,1558569600,Customer,5/23/2019,Opportunity for Houston1041
Retail,,United States,Closed Won,Wood74 Inc,4331,18477,1596412800,Customer,8/3/2020,Opportunity for Jackson1400
Finance,Texas,United States,Closed Won,Greene248 Inc,5482,18834,1627257600,Partner,7/26/2021,Opportunity for Gutierrez1402
Agriculture,Texas,United States,Qualification,Henderson891 Inc,68067,18789,1623369600,Customer,6/11/2021,Opportunity for Dixon1405
Biotechnology,New York,United States,Qualification,Horton569 Inc,8625,18622,1608940800,Partner,12/26/2020,Opportunity for Cobb1406
Technology,Texas,United States,Closed Lost,Ferguson911 Inc,6229,18841,1627862400,Partner,8/2/2021,Opportunity for Maxwell1410
Telecommunications,Texas,United States,Closed Won,Butler249 Inc,2442,18543,1602115200,Partner,10/8/2020,Opportunity for Perez1411
Engineering,Texas,United States,Closed Won,Cain574 Inc,41030,17999,1555113600,Partner,4/13/2019,Opportunity for Hart1416
Communications,Pennsylvania,United States,Closed Won,Doyle498 Inc,48180,19348,1671667200,Customer,12/22/2022,Opportunity for Martin1417
Utilities,Pennsylvania,United States,Closed Won,Gardner499 Inc,89986,18004,1555545600,Customer,4/18/2019,Opportunity for Hines1779
Biotechnology,New York,United States,Closed Won,Reed186 Inc,64124,18446,1593734400,Customer,7/3/2020,Opportunity for Morrison1784
Technology,Texas,United States,Closed Won,Brown495 Inc,50150,17929,1549065600,Partner,2/2/2019,Opportunity for Paul1791
Technology,Alabama,United States,Needs Analysis,Conner538 Inc,60594,17962,1551916800,Partner,3/7/2019,Opportunity for Andrews1792
Technology,Arizona,United States,Qualification,Burton810 Inc,89785,18754,1620345600,Customer,5/7/2021,Opportunity for Guzman1793
Biotechnology,Texas,United States,Qualification,Pittman435 Inc,98465,18534,1601337600,Customer,9/29/2020,Opportunity for Watson1794
Communications,Arizona,United States,Closed Won,Griffith580 Inc,39682,18451,1594166400,Partner,7/8/2020,Opportunity for Massey1797
Utilities,Massachusetts,United States,Closed Won,Hines651 Inc,86640,19049,1645833600,Customer,2/26/2022,Opportunity for Nelson1799
Telecommunications,,United States,Closed Won,Bryant250 Inc,10304,17983,1553731200,Partner,3/28/2019,Opportunity for Pittman658
Communications,Illinois,United States,Closed Won,West49 Inc,57613,19131,1652918400,Partner,5/19/2022,Opportunity for Erickson659
Banking,Texas,United States,Proposal/Price Quote,Wright507 Inc,95945,18638,1610323200,Customer,1/11/2021,Opportunity for Cunningham662
Electronics,Louisiana,United States,Closed Won,Freeman571 Inc,90813,17963,1552003200,Partner,3/8/2019,Opportunity for Perkins665
Electronics,Nebraska,United States,Closed Won,Quinn144 Inc,98525,19304,1667865600,Partner,11/8/2022,Opportunity for Luna668
Finance,California,United States,Value Proposition,Webster118 Inc,15748,19053,1646179200,Partner,3/2/2022,Opportunity for Stevenson670
Finance,Louisiana,United States,Closed Lost,Wood74 Inc,19551,18868,1630195200,Customer,8/29/2021,Opportunity for Ramirez671
Finance,Tennessee,United States,Closed Won,Clayton557 Inc,26024,17943,1550275200,Partner,2/16/2019,Opportunity for Brown672
Banking,Nebraska,United States,Closed Won,Webster87 Inc,62583,18869,1630281600,Customer,8/30/2021,Opportunity for Barton675
Technology,Arkansas,United States,Closed Won,Greer831 Inc,4777,18932,1635724800,Partner,11/1/2021,Opportunity for Duncan681
Healthcare,Utah,United States,Value Proposition,Ross388 Inc,81798,18096,1563494400,Partner,7/19/2019,Opportunity for Colon1047
Electronics,Minnesota,United States,Closed Won,Rowe333 Inc,92870,18234,1575417600,Partner,12/4/2019,Opportunity for McKenzie1054
Consulting,Michigan,United States,Closed Lost,Rivera969 Inc,26624,18239,1575849600,Partner,12/9/2019,Opportunity for Webb1055
Media,Colorado,United States,Closed Won,Dunn368 Inc,61068,18987,1640476800,Partner,12/26/2021,Opportunity for Hart1061
Communications,Texas,United States,Perception Analysis,Bowman940 Inc,84306,18172,1570060800,Partner,10/3/2019,Opportunity for Vega1066
Healthcare,Kansas,United States,Closed Won,Fields265 Inc,38612,18419,1591401600,Partner,6/6/2020,Opportunity for Owen1424
Transportation,Colorado,United States,Closed Lost,Robbins449 Inc,13584,18178,1570579200,Customer,10/9/2019,Opportunity for Love1426
Finance,District of Columbia,United States,Needs Analysis,Greer746 Inc,79531,18067,1560988800,Partner,6/20/2019,Opportunity for Flowers1427
Finance,Colorado,United States,Needs Analysis,Morales41 Inc,43346,18725,1617840000,Customer,4/8/2021,Opportunity for Keller1431
Biotechnology,Nevada,United States,Closed Lost,Strickland686 Inc,14684,19011,1642550400,Customer,1/19/2022,Opportunity for Allison1432
Engineering,Virginia,United States,Closed Won,Reeves202 Inc,99262,18606,1607558400,Partner,12/10/2020,Opportunity for Dixon1438
Banking,Minnesota,United States,Needs Analysis,Thomas208 Inc,63125,19179,1657065600,Partner,7/6/2022,Opportunity for Chandler1439
Engineering,Arizona,United States,Closed Lost,Black702 Inc,29110,18874,1630713600,Partner,9/4/2021,Opportunity for Conner1442
Biotechnology,Washington,United States,Closed Lost,Todd566 Inc,58324,19019,1643241600,Partner,1/27/2022,Opportunity for Robbins1443
Telecommunications,,United States,Closed Won,Owens441 Inc,63468,19040,1645056000,Customer,2/17/2022,Opportunity for Berry1447
Apparel,New York,,Closed Lost,Zimmerman646 Inc,55779,18637,1610236800,Partner,1/10/2021,Opportunity for Neal1804
Biotechnology,Arkansas,United States,Closed Won,Romero457 Inc,74745,18208,1573171200,Partner,11/8/2019,Opportunity for Marsh1806
Engineering,California,United States,Closed Won,Hodges632 Inc,2008,19226,1661126400,Customer,8/22/2022,Opportunity for Carlson1808
Media,Illinois,United States,Closed Won,Newman432 Inc,73731,18017,1556668800,Partner,5/1/2019,Opportunity for Fleming1809
Telecommunications,Michigan,United States,Closed Lost,Aguilar870 Inc,58689,18779,1622505600,Partner,6/1/2021,Opportunity for Matthews1810
Retail,,United States,Closed Won,Hogan989 Inc,39023,19265,1664496000,Partner,9/30/2022,Opportunity for Daniel1811
Utilities,,United States,Perception Analysis,Beck894 Inc,79337,18853,1628899200,Partner,8/14/2021,Opportunity for Chandler1816
Apparel,Texas,United States,Closed Won,Crawford14 Inc,48854,18687,1614556800,Partner,3/1/2021,Opportunity for Hicks1818
Transportation,Virginia,United States,Perception Analysis,Simpson342 Inc,33803,18590,1606176000,Partner,11/24/2020,Opportunity for Moss1820
Retail,Tennessee,United States,Closed Won,Underwood142 Inc,36337,17927,1548892800,Partner,1/31/2019,Opportunity for Miles1826
Agriculture,,United States,Closed Won,Mann440 Inc,84544,19255,1663632000,Customer,9/20/2022,Opportunity for Greer1
Energy,Alabama,United States,Qualification,Phillips552 Inc,97220,18717,1617148800,Partner,3/31/2021,Opportunity for Conner5
Manufacturing,Texas,United States,Closed Lost,Thomas148 Inc,71344,18940,1636416000,Partner,11/9/2021,Opportunity for Wood9
Communications,,United States,Closed Lost,Ross364 Inc,51893,18694,1615161600,Partner,3/8/2021,Opportunity for Hogan11
Manufacturing,Utah,United States,Closed Won,Cortez324 Inc,17284,18920,1634688000,Partner,10/20/2021,Opportunity for Jefferson17
Agriculture,Georgia,United States,Negotiation/Review,Owens441 Inc,90990,18324,1583193600,Customer,3/3/2020,Opportunity for McLaughlin130
Apparel,Oklahoma,United States,Perception Analysis,Gibson62 Inc,8097,19140,1653696000,Partner,5/28/2022,Opportunity for Chandler133
Insurance,Maryland,United States,Closed Won,Warren653 Inc,36541,19117,1651708800,Partner,5/5/2022,Opportunity for Rice134
Technology,Indiana,United States,Qualification,Conner513 Inc,32156,18935,1635984000,Customer,11/4/2021,Opportunity for Barnes141
Finance,Florida,United States,Perception Analysis,Harris13 Inc,53386,18911,1633910400,Customer,10/11/2021,Opportunity for Edwards146
Biotechnology,Illinois,United States,Needs Analysis,Dean902 Inc,71524,19123,1652227200,Partner,5/11/2022,Opportunity for Williams149
Electronics,Arizona,United States,Closed Lost,Bishop597 Inc,83596,18387,1588636800,Partner,5/5/2020,Opportunity for Wagner150
Apparel,Florida,United States,Needs Analysis,Gordon630 Inc,32269,17964,1552089600,Partner,3/9/2019,Opportunity for Dennis260
Apparel,Florida,United States,Closed Won,Joseph361 Inc,80712,18546,1602374400,Customer,10/11/2020,Opportunity for Pittman263
Media,Pennsylvania,United States,Prospecting,Fox572 Inc,39858,19217,1660348800,Customer,8/13/2022,Opportunity for Holmes265
Finance,Georgia,United States,Closed Won,Todd690 Inc,67404,18806,1624838400,Customer,6/28/2021,Opportunity for Murphy267
Communications,Texas,United States,Closed Won,Roberson601 Inc,20308,18260,1577664000,Partner,12/30/2019,Opportunity for Freeman268
Telecommunications,Indiana,United States,Closed Won,Wise244 Inc,99484,19025,1643760000,Customer,2/2/2022,Opportunity for Terry269
Apparel,Florida,United States,Closed Won,Briggs955 Inc,65726,17998,1555027200,Partner,4/12/2019,Opportunity for Butler275
Engineering,Pennsylvania,United States,Qualification,Daniels141 Inc,87565,18818,1625875200,Partner,7/10/2021,Opportunity for Collier276
Agriculture,Florida,United States,Closed Won,Oliver444 Inc,74275,18488,1597363200,Partner,8/14/2020,Opportunity for Alexander278
Engineering,California,United States,Qualification,Wright507 Inc,87253,17963,1552003200,Partner,3/8/2019,Opportunity for Allison281
Electronics,Florida,United States,Closed Won,Figueroa68 Inc,35185,18789,1623369600,Partner,6/11/2021,Opportunity for Delgado355
Finance,Texas,United States,Closed Won,Jackson589 Inc,96001,18622,1608940800,Partner,12/26/2020,Opportunity for Bryant359
Education,Alaska,United States,Needs Analysis,Scott708 Inc,56915,18801,1624406400,Partner,6/23/2021,Opportunity for Wise361
Consulting,Idaho,United States,Closed Won,Hart828 Inc,23906,18494,1597881600,Partner,8/20/2020,Opportunity for Hunt362
Energy,Missouri,United States,Perception Analysis,Carlson744 Inc,9396,18690,1614816000,Partner,3/4/2021,Opportunity for Scott363
Biotechnology,Wisconsin,United States,Closed Won,Munoz724 Inc,39059,18696,1615334400,Customer,3/10/2021,Opportunity for McCoy365
Apparel,Washington,United States,Closed Won,Ross364 Inc,88212,19005,1642032000,Partner,1/13/2022,Opportunity for Love368
Manufacturing,Florida,United States,Closed Lost,King177 Inc,35999,19114,1651449600,Partner,5/2/2022,Opportunity for Rios369
Transportation,California,United States,Closed Won,Padilla472 Inc,31666,18148,1567987200,Partner,9/9/2019,Opportunity for Gordon370
Education,Illinois,United States,Closed Won,West706 Inc,95466,18474,1596153600,Partner,7/31/2020,Opportunity for Harrington373
Telecommunications,Texas,United States,Closed Won,McGuire26 Inc,91557,18900,1632960000,Partner,9/30/2021,Opportunity for Pearson374
Engineering,Washington,United States,Closed Won,Perkins198 Inc,82190,17919,1548201600,Customer,1/23/2019,Opportunity for Clayton375
Utilities,New Jersey,United States,Closed Won,Banks379 Inc,87597,19021,1643414400,Partner,1/29/2022,Opportunity for Mathis376
Banking,Alabama,United States,Closed Won,Barnett543 Inc,8364,19099,1650153600,Customer,4/17/2022,Opportunity for Gray19
Education,Virginia,United States,Prospecting,Duncan433 Inc,16439,19353,1672099200,Customer,12/27/2022,Opportunity for Hawkins22
Transportation,Virginia,United States,Negotiation/Review,Lowe496 Inc,33565,18338,1584403200,Partner,3/17/2020,Opportunity for McCormick23
Consulting,Texas,United States,Closed Won,Vega718 Inc,91630,19346,1671494400,Customer,12/20/2022,Opportunity for Cox29
Engineering,Texas,United States,Closed Won,Tucker284 Inc,93544,18312,1582156800,Partner,2/20/2020,Opportunity for Bass32
Apparel,California,United States,Perception Analysis,Watts685 Inc,50095,18815,1625616000,Partner,7/7/2021,Opportunity for Butler33
Communications,,United States,Closed Won,Wade723 Inc,88750,18912,1633996800,Partner,10/12/2021,Opportunity for Alvarez35
Biotechnology,Arizona,United States,Closed Lost,Smith558 Inc,70742,18403,1590019200,Partner,5/21/2020,Opportunity for Nunez37
Energy,Kentucky,United States,Closed Won,Bennett519 Inc,69685,18396,1589414400,Customer,5/14/2020,Opportunity for Wilkins38
Media,New York,United States,Closed Lost,Rogers668 Inc,19447,19223,1660867200,Partner,8/19/2022,Opportunity for Stevens152
